cat_id,cat_nombre,slug_carpeta,hero_archivo,hero_url_nueva,total_imgs_desc,todas_imagenes
86,"&#x1f947;Clases particulares online",clases-particulares-online,ClasesParticularesOnline.jpg,https://dev.ciberaula.org/images/categorias/clases-particulares-online/ClasesParticularesOnline.jpg,1,ClasesParticularesOnline.jpg
87,"&#x1f947;Contratar aula virtual",contratar-aula-virtual,ContratarAulaVirtual.jpg,https://dev.ciberaula.org/images/categorias/contratar-aula-virtual/ContratarAulaVirtual.jpg,1,ContratarAulaVirtual.jpg
121,"&#x1f947;Curso online bonificado de maquillaje",curso-online-bonificado-de-maquillaje,Curso-online-de-Maquillaje.png,https://dev.ciberaula.org/images/categorias/curso-online-bonificado-de-maquillaje/Curso-online-de-Maquillaje.png,2,"Curso-online-de-Maquillaje.png | Modalidad-online.jpg"
123,"&#x1f947;Curso online bonificado Maquillaje social",curso-online-bonificado-maquillaje-social,Curso-de-Maquilla-Social.png,https://dev.ciberaula.org/images/categorias/curso-online-bonificado-maquillaje-social/Curso-de-Maquilla-Social.png,2,"Curso-de-Maquilla-Social.png | Maquilla-Social-Ciberaula.org.jpg"
37,"&#x1f947;Cursos bonificados",cursos-bonificados,"Cursos bonificados en Madrid.jpeg",https://dev.ciberaula.org/images/categorias/cursos-bonificados/CursosbonificadosenMadrid.jpeg,3,"Cursos bonificados en Madrid.jpeg | Diploma-acreditativo-de-Inteligencia-Artificial.png | Diploma-inteligencia-artificial-2023.png"
154,"&#x1f947;Cursos bonificados de Agricultura online",cursos-bonificados-de-agricultura-online,Agricultura.jpg,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-agricultura-online/Agricultura.jpg,3,"Agricultura.jpg | Diploma-acreditativo-Agricultura .png | Diploma-Agricultura -2023.png"
65,"&#x1f947;Cursos bonificados de alemán",cursos-bonificados-de-alem-n,AlemanPrimaria.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-alem-n/AlemanPrimaria.png,2,"AlemanPrimaria.png | AlemanSecundaria.jpg"
11,"&#x1f947;Cursos bonificados de Alimentación, Cocina y Hostelería",cursos-bonificados-de-alimentaci-n-cocina-y-hosteler-a,Screenshot_1.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-alimentaci-n-cocina-y-hosteler-a/Screenshot_1.png,4,"Screenshot_1.png | ExcelOnlineModalidades.jpg | Diploma-acreditativo-de-Alimentacion-Hosteleria.png | Diploma-alimentacion-y-hosteleria-2023.png"
153,"&#x1f947;Cursos bonificados de Artes Gráficas online",cursos-bonificados-de-artes-gr-ficas-online,Artes-graficas.jpg,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-artes-gr-ficas-online/Artes-graficas.jpg,3,"Artes-graficas.jpg | Diploma-acreditativo-Artes-Graficas.png | Diploma-Artes-Graficas-2023.png"
117,"&#x1f947;Cursos bonificados de atención al cliente",cursos-bonificados-de-atenci-n-al-cliente,"Titulo (1).png",https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-atenci-n-al-cliente/Titulo(1).png,3,"Titulo (1).png | Diploma-acreditativo-Atencion-al-cliente.png | Diploma-Atencion-al-cliente-2023.png"
5,"&#x1f947;Cursos bonificados de Autocad",cursos-bonificados-de-autocad,CursosBonificadosdeAutocad.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-autocad/CursosBonificadosdeAutocad.png,3,"CursosBonificadosdeAutocad.png | Diploma-acreditativo-de-AutoCad.png | Diploma-autocad-2023.png"
111,"&#x1f947;Cursos bonificados de Auxiliar de Enfermería",cursos-bonificados-de-auxiliar-de-enfermer-a,Diploma-acreditativo-Aux-Enfermeria.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-auxiliar-de-enfermer-a/Diploma-acreditativo-Aux-Enfermeria.png,2,"Diploma-acreditativo-Aux-Enfermeria.png | Diploma-Aux-Enfermeria-2023.png"
148,"&#x1f947;Cursos Bonificados de Belleza online",cursos-bonificados-de-belleza-online,Belleza.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-belleza-online/Belleza.png,3,"Belleza.png | Diploma-acreditativo-Belleza.png | Diploma-Belleza-2023.png"
162,"&#x1f947;Cursos bonificados de Bolsa online",cursos-bonificados-de-bolsa-online,Bolsa.jpg,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-bolsa-online/Bolsa.jpg,3,"Bolsa.jpg | Diploma-acreditativo-Bolsa.png | Diploma-Bolsa-2023.png"
71,"&#x1f947;Cursos Bonificados de Chino",cursos-bonificados-de-chino,BonificadoChino.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-chino/BonificadoChino.png,3,"BonificadoChino.png | Diploma-acreditativo-de-Chino.png | Diploma-Chino-2023.png"
165,"&#x1f947;Cursos bonificados de comercio electrónico",cursos-bonificados-de-comercio-electr-nico,Comercio-electronico.jpeg,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-comercio-electr-nico/Comercio-electronico.jpeg,3,"Comercio-electronico.jpeg | Diploma-acreditativo-comercio-electronico.png | Diploma-comercio-electronico.png"
142,"&#x1f947;Cursos Bonificados de Comercio online",cursos-bonificados-de-comercio-online,Comercio.jpg,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-comercio-online/Comercio.jpg,3,"Comercio.jpg | Diploma-acreditativo-Comercio.png | Diploma-Comercio-2023.png"
88,"&#x1f947;Cursos bonificados de competencias clave",cursos-bonificados-de-competencias-clave,CompetenciasClaves.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-competencias-clave/CompetenciasClaves.png,2,"CompetenciasClaves.png | jefe-de-equipo.jpg"
70,"&#x1f947;Cursos Bonificados de Competencias Digitales",cursos-bonificados-de-competencias-digitales,CompetenciasDigitales.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-competencias-digitales/CompetenciasDigitales.png,3,"CompetenciasDigitales.png | Diploma-acreditativo-de-Competencias-digitales.png | Diploma-Competencias-digitales-2023.png"
66,"&#x1f947;Cursos Bonificados de Contabilidad",cursos-bonificados-de-contabilidad,Contabilidad.jpg,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-contabilidad/Contabilidad.jpg,3,"Contabilidad.jpg | Diploma-acreditativo-de-Contabilidad.png | Diploma-Contabilidad-2023.png"
158,"&#x1f947;Cursos bonificados de Contenidos Y Proyectos Audiovisuales online",cursos-bonificados-de-contenidos-y-proyectos-audiovisuales-online,Contenidos-y-proyectos-audiovisuales.jpg,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-contenidos-y-proyectos-audiovisuales-online/Contenidos-y-proyectos-audiovisuales.jpg,3,"Contenidos-y-proyectos-audiovisuales.jpg | Diploma-acreditativo-Contenidos-Proyectos-Audiovisuales.png | Diploma-Contenidos-Proyectos-Audiovisuales-2023.png"
128,"&#x1f947;Cursos bonificados de Criptomonedas",cursos-bonificados-de-criptomonedas,CursoOnlineCriptomonedas.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-criptomonedas/CursoOnlineCriptomonedas.png,3,"CursoOnlineCriptomonedas.png | _Diploma-acreditativo-de-Estructura-Datos-Innovaciones-tecnologia-financiera (1).png | Diploma-criptomonedas-2022.png"
164,"&#x1f947;Cursos Bonificados de Derecho online",cursos-bonificados-de-derecho-online,Derecho.jpg,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-derecho-online/Derecho.jpg,3,"Derecho.jpg | Diploma-acreditativo-Derecho.png | Diploma-Derecho-2023.png"
12,"&#x1f947;Cursos bonificados de Diseño Gráfico 2D y 3D",cursos-bonificados-de-dise-o-gr-fico-2d-y-3d,Diploma-acreditativo-de-Diseño-Grafico2D-3D.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-dise-o-gr-fico-2d-y-3d/Diploma-acreditativo-de-Diseo-Grafico2D-3D.png,2,"Diploma-acreditativo-de-Diseño-Grafico2D-3D.png | Diploma-Diseno-Grafico-2D-y-3D-2023.png"
120,"&#x1f947;Cursos bonificados de Diseño Industrial - CAD",cursos-bonificados-de-dise-o-industrial-cad,"Diseño Industrial.png",https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-dise-o-industrial-cad/DiseoIndustrial.png,3,"Diseño Industrial.png | Diploma-acreditativo-Diseno-industrial-CAD.png | Diploma-Seguridad-Diseño-Industrial-CAD-2022.png"
151,"&#x1f947;Cursos bonificados de Drogodependencia online",cursos-bonificados-de-drogodependencia-online,Drogodependencia.jpg,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-drogodependencia-online/Drogodependencia.jpg,3,"Drogodependencia.jpg | Diploma-acreditativo-Drogodependencia.png | Diploma-Drogodependencia-2023.png"
146,"&#x1f947;Cursos Bonificados de Drones online",cursos-bonificados-de-drones-online,Drones.jpg,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-drones-online/Drones.jpg,3,"Drones.jpg | Diploma-acreditativo-Drones.png | Diploma-Drones-2023.png"
13,"&#x1f947;Cursos bonificados de Economía y finanzas",cursos-bonificados-de-econom-a-y-finanzas,Economia-y-finanzas.jpeg,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-econom-a-y-finanzas/Economia-y-finanzas.jpeg,4,"Economia-y-finanzas.jpeg | atractiva-empresaria-laptop_231208-10621 (1).png | Diploma-acreditativo-de-Economía-Finanzas.png | Diploma-economia-y-finanzas-2023.png"
14,"&#x1f947;Cursos bonificados de Educación",cursos-bonificados-de-educaci-n,84762f2c7bc95158f718adfa74ccfa9f.jpg,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-educaci-n/84762f2c7bc95158f718adfa74ccfa9f.jpg,3,"84762f2c7bc95158f718adfa74ccfa9f.jpg | Diploma-acreditativo-de-Educación.png | Diploma-educacion-2023.png"
74,"&#x1f947;Cursos Bonificados de Electricidad y electrónica",cursos-bonificados-de-electricidad-y-electr-nica,ComponenteElec.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-electricidad-y-electr-nica/ComponenteElec.png,3,"ComponenteElec.png | Diploma-acreditativo-de-Electricidad-Electronica.png | Diploma-Electricidad-Electronica-2023.png"
73,"&#x1f947;Cursos Bonificados de Energías Renovables",cursos-bonificados-de-energ-as-renovables,Diploma-acreditativo-de-Eneregias-Renovables.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-energ-as-renovables/Diploma-acreditativo-de-Eneregias-Renovables.png,2,"Diploma-acreditativo-de-Eneregias-Renovables.png | Diploma-Eneregias-Renovables-2023.png"
69,"&#x1f947;Cursos bonificados de Enfermería",cursos-bonificados-de-enfermer-a,Enfermeria2.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-enfermer-a/Enfermeria2.png,3,"Enfermeria2.png | Diploma-acreditativo-de-Enfermeria.png | Diploma-Enfermeria-2023.png"
137,"&#x1f947;Cursos bonificados de escaparatismo on-line",cursos-bonificados-de-escaparatismo-on-line,Escaparatismo.jpg,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-escaparatismo-on-line/Escaparatismo.jpg,3,"Escaparatismo.jpg | Diploma-acreditativo-Escaparatismo.png | Diploma-Escaparatismo-2023.png"
15,"&#x1f947;Cursos bonificados de Euskera",cursos-bonificados-de-euskera,Cursos-bonificados-de-Euskera.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-euskera/Cursos-bonificados-de-Euskera.png,3,"Cursos-bonificados-de-Euskera.png | Diploma-acreditativo-Euskera.png | Diploma-Euskera-2023.png"
143,"&#x1f947;Cursos Bonificados de Farmacia online",cursos-bonificados-de-farmacia-online,Farmacia.jpg,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-farmacia-online/Farmacia.jpg,3,"Farmacia.jpg | Diploma-acreditativo-Farmacia.png | Diploma-Farmacia-2023.png"
159,"&#x1f947;Cursos bonificados de Fiscalidad online",cursos-bonificados-de-fiscalidad-online,Fiscalidad.jpg,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-fiscalidad-online/Fiscalidad.jpg,3,"Fiscalidad.jpg | Diploma-acreditativo-Fiscalidad.png | Diploma-Fiscalidad-2023.png"
16,"&#x1f947;Cursos bonificados de Fitosanitarios y biocidas",cursos-bonificados-de-fitosanitarios-y-biocidas,"CURSOS ONLINE FITOSANITARIOS Y BIOCIDAS .jpg",https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-fitosanitarios-y-biocidas/CURSOSONLINEFITOSANITARIOSYBIOCIDAS.jpg,3,"CURSOS ONLINE FITOSANITARIOS Y BIOCIDAS .jpg | Diploma-acreditativo-de-Fitosanitarios-Biocidas.png | Diploma-fitosanitarios-y-biocidas-2023.png"
17,"&#x1f947;Cursos bonificados de Formación en Tecnologías de la Información y Comunicación",cursos-bonificados-de-formaci-n-en-tecnolog-as-de-la-informaci-n-y-comunicaci-n,TecInfo.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-formaci-n-en-tecnolog-as-de-la-informaci-n-y-comunicaci-n/TecInfo.png,2,"TecInfo.png | Tecnologíasnfo.jpg"
18,"&#x1f947;Cursos bonificados de Formación Vial",cursos-bonificados-de-formaci-n-vial,FormacVial.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-formaci-n-vial/FormacVial.png,3,"FormacVial.png | Diploma-acreditativo-de-Formación-Vial.png | Diploma-formacion-vial-2023.png"
64,"&#x1f947;Cursos bonificados de francés",cursos-bonificados-de-franc-s,CursosBonificadosFrances.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-franc-s/CursosBonificadosFrances.png,2,"CursosBonificadosFrances.png | France.jpg"
72,"&#x1f947;Cursos Bonificados de Gestión Ambiental",cursos-bonificados-de-gesti-n-ambiental,GestiónAmbiental.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-gesti-n-ambiental/GestinAmbiental.png,4,"GestiónAmbiental.png | AmbientalGestion.jpg | Diploma-acreditativo-gestion-de-la-calidad-y-medioambiental-en-industrias-de-proceso.png | Diploma-gestion-de-la-calidad-y-medioambiental-en-industrias-de-proceso.png"
157,"&#x1f947;Cursos bonificados de Gestión Comercial Y Ventas online",cursos-bonificados-de-gesti-n-comercial-y-ventas-online,Gestión-comercial-de-ventas-en-empresas.jpg,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-gesti-n-comercial-y-ventas-online/Gestin-comercial-de-ventas-en-empresas.jpg,3,"Gestión-comercial-de-ventas-en-empresas.jpg | Diploma-acreditativo-Gestión-Comercial-Ventas.png | Diploma-Gestión-Comercial-Ventas-2023.png"
19,"&#x1f947;Cursos bonificados de Gestión y Administración",cursos-bonificados-de-gesti-n-y-administraci-n,"Curso Bonificado Gestion y Administracion.jpg",https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-gesti-n-y-administraci-n/CursoBonificadoGestionyAdministracion.jpg,4,"Curso Bonificado Gestion y Administracion.jpg | GestiónAdministracion.jpg | Diploma-acreditativo-de-Gestion-Administracion.png | Diploma-gestion-y-administracion-2023.png"
20,"&#x1f947;Cursos bonificados de Habilidades Empresariales",cursos-bonificados-de-habilidades-empresariales,Diploma-acreditativo-de-Habilidades-Empresariales.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-habilidades-empresariales/Diploma-acreditativo-de-Habilidades-Empresariales.png,2,"Diploma-acreditativo-de-Habilidades-Empresariales.png | Diploma-habilidades-empresariales-2023.png"
21,"&#x1f947;Cursos bonificados de Habilidades Empresariales para Nuevas Tecnologías",cursos-bonificados-de-habilidades-empresariales-para-nuevas-tecnolog-as,HabilidadesEmpresarialesParaNuevasTecnologias.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-habilidades-empresariales-para-nuevas-tecnolog-as/HabilidadesEmpresarialesParaNuevasTecnologias.png,2,"HabilidadesEmpresarialesParaNuevasTecnologias.png | HabilidadesEmpresarialesNewTec.jpg"
6,"&#x1f947;Cursos bonificados de Idiomas",cursos-bonificados-de-idiomas,Cursos-bonificados-de-idiomas.jpeg,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-idiomas/Cursos-bonificados-de-idiomas.jpeg,4,"Cursos-bonificados-de-idiomas.jpeg | Idiomas.jpg | Diploma-acreditativo-de-Idiomas.png | Diploma-idiomas-2023.png"
112,"&#x1f947;Cursos bonificados de Igualdad de Género",cursos-bonificados-de-igualdad-de-g-nero,Cursos-Bonificados-de-Igualdad-de-Genero.jpeg,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-igualdad-de-g-nero/Cursos-Bonificados-de-Igualdad-de-Genero.jpeg,4,"Cursos-Bonificados-de-Igualdad-de-Genero.jpeg | Modalidades-de-imparticion.png | Diploma-acreditativo-Igualdad-de-Genero.png | Diploma-Igualdad-de-Genero-2023.png"
160,"&#x1f947;Cursos bonificados de Ingeniería online",cursos-bonificados-de-ingenier-a-online,Ingenieria.jpg,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-ingenier-a-online/Ingenieria.jpg,3,"Ingenieria.jpg | Diploma-acreditativo-Ingenieria.png | Diploma-Ingenieria-2023.png"
9,"&#x1f947;Cursos bonificados de Ingles",cursos-bonificados-de-ingles,Cursos-Online-Ingles-Basico.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-ingles/Cursos-Online-Ingles-Basico.png,5,"Cursos-Online-Ingles-Basico.png | InglesSecun.png | Certificate512_44186.png | Diploma-acreditativo-de-Ingles.png | Diploma-Ingles-2023.png"
150,"&#x1f947;Cursos bonificados de Integración Sociolaboral online",cursos-bonificados-de-integraci-n-sociolaboral-online,Integracion-social.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-integraci-n-sociolaboral-online/Integracion-social.png,3,"Integracion-social.png | Diploma-acreditativo-Integracion-Social.png | Diploma-Integracion-Social-2023.png"
166,"&#x1f947;Cursos bonificados de Inteligencia Artificial para la creación de Chatbots",cursos-bonificados-de-inteligencia-artificial-para-la-creaci-n-de-chatbots,"Inteligencia Artificial para la creación de Chatbots.jpg",https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-inteligencia-artificial-para-la-creaci-n-de-chatbots/InteligenciaArtificialparalacreacindeChatbots.jpg,3,"Inteligencia Artificial para la creación de Chatbots.jpg | Diploma FUNDAE.png | Diploma Ciberaula.png"
167,"&#x1f947;Cursos bonificados de Inteligencia Artificial para la generación de vídeo",cursos-bonificados-de-inteligencia-artificial-para-la-generaci-n-de-v-deo,generación-de-video.jpg,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-inteligencia-artificial-para-la-generaci-n-de-v-deo/generacin-de-video.jpg,3,"generación-de-video.jpg | acreditativo.png | diploma.png"
22,"&#x1f947;Cursos bonificados de Internet y redes locales",cursos-bonificados-de-internet-y-redes-locales,internetRedesLocales.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-internet-y-redes-locales/internetRedesLocales.png,2,"internetRedesLocales.png | IntRedesLocalSecundaria.png"
141,"&#x1f947;Cursos Bonificados de Logística online",cursos-bonificados-de-log-stica-online,Logistic.jpg,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-log-stica-online/Logistic.jpg,3,"Logistic.jpg | Diploma-acreditativo-Logistica.png | Diploma-Logistica-2023.png"
152,"&#x1f947;Cursos bonificados de Logopedia online",cursos-bonificados-de-logopedia-online,Logopedia.jpg,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-logopedia-online/Logopedia.jpg,3,"Logopedia.jpg | Diploma-acreditativo-Logopedia.png | Diploma-Logopedia-2023.png"
23,"&#x1f947;Cursos bonificados de Marketing y Ventas",cursos-bonificados-de-marketing-y-ventas,MarketingyVentas.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-marketing-y-ventas/MarketingyVentas.png,4,"MarketingyVentas.png | marketingVentasSecundaria.png | Diploma-acreditativo-de-Marketing-Ventas (1).png | Diploma-marketing-y-ventas-2023 (1).png"
147,"&#x1f947;Cursos Bonificados de Mecánica online",cursos-bonificados-de-mec-nica-online,Mecanica.jpg,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-mec-nica-online/Mecanica.jpg,3,"Mecanica.jpg | Diploma-acreditativo-Mecanica.png | Diploma-Mecanica-2023.png"
89,"&#x1f947;Cursos bonificados de medicina",cursos-bonificados-de-medicina,Medicina..png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-medicina/Medicina..png,3,"Medicina..png | Diploma-acreditativo-de-medicina.png | Diploma-Medicina-2022.png"
163,"&#x1f947;Cursos bonificados de Medicina Estética online",cursos-bonificados-de-medicina-est-tica-online,Medicina-estetica.jpeg,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-medicina-est-tica-online/Medicina-estetica.jpeg,3,"Medicina-estetica.jpeg | Diploma-acreditativo-Medicina-Estetica.png | Diploma-Medicina-Estetica-2023.png"
24,"&#x1f947;Cursos bonificados de Oficios",cursos-bonificados-de-oficios,CursosOficios.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-oficios/CursosOficios.png,2,"CursosOficios.png | Oficios.jpg"
3,"&#x1f947;Cursos bonificados de Ofimatica",cursos-bonificados-de-ofimatica,CollageOfimaticaORGLog.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-ofimatica/CollageOfimaticaORGLog.png,4,"CollageOfimaticaORGLog.png | atractiva-empresaria-laptop_231208-10621 (1).png | Diploma-acreditativo-de-Ofimatica.png | Diploma-Ciberaula-2023-ofimatica.png"
25,"&#x1f947;Cursos bonificados de Ofimática y Sistemas Operativos",cursos-bonificados-de-ofim-tica-y-sistemas-operativos,Ofimaticas-SistemaOperativos.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-ofim-tica-y-sistemas-operativos/Ofimaticas-SistemaOperativos.png,2,"Ofimaticas-SistemaOperativos.png | SisOperativos.png"
39,"&#x1f947;Cursos bonificados de Páginas Web y Programación",cursos-bonificados-de-p-ginas-web-y-programaci-n,PaginasWebYProgramacion.jpg,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-p-ginas-web-y-programaci-n/PaginasWebYProgramacion.jpg,3,"PaginasWebYProgramacion.jpg | Diploma-acreditativo-HTML5.png | Diploma-Paginas-Web-y-Programacion.png"
113,"&#x1f947;Cursos bonificados de Plan de Igualdad de Género",cursos-bonificados-de-plan-de-igualdad-de-g-nero,PlanIgualdad.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-plan-de-igualdad-de-g-nero/PlanIgualdad.png,5,"PlanIgualdad.png | objetivos.png | publicoobjetivo.png | Diploma-acreditativo-de-Plan-igualdad-de-genero.png | Diplomas-Igualdad-de-Genero-2022.png"
26,"&#x1f947;Cursos bonificados de Prevención de Riesgos Laborales",cursos-bonificados-de-prevenci-n-de-riesgos-laborales,1cd4dfb1a166ac874c54fc1be35ffc30ad1cca13.jpg,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-prevenci-n-de-riesgos-laborales/1cd4dfb1a166ac874c54fc1be35ffc30ad1cca13.jpg,4,"1cd4dfb1a166ac874c54fc1be35ffc30ad1cca13.jpg | Prevencion-riesgos-laborales.jpg | Diploma-acreditativo-Prevencion-Riesgos-Laborales-Basico-A.png | Diploma-prevencion-riesgos-laborales-2023.png"
7,"&#x1f947;Cursos bonificados de Programación",cursos-bonificados-de-programaci-n,Programcion.jpg,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-programaci-n/Programcion.jpg,1,Programcion.jpg
168,"&#x1f947;Cursos bonificados de Programación con Python",cursos-bonificados-de-programaci-n-con-python,"Programación con python.jpg",https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-programaci-n-con-python/Programacinconpython.jpg,3,"Programación con python.jpg | diploma-acreditativo.png | diploma-ciberaula.jpg"
27,"&#x1f947;Cursos bonificados de Protección de datos",cursos-bonificados-de-protecci-n-de-datos,ProteccionDatos.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-protecci-n-de-datos/ProteccionDatos.png,2,"ProteccionDatos.png | ProteccionDatosSecundaria.png"
90,"&#x1f947;Cursos bonificados de psicología",cursos-bonificados-de-psicolog-a,psicologia-empresarial.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-psicolog-a/psicologia-empresarial.png,3,"psicologia-empresarial.png | Diploma-acreditativo-tecnicas-de-apoyo-psicologico-y-social-en-situaciones-de-crisis.png | Diploma-tecnicas-de-apoyo-psicologico-y-social-en-situaciones-de-crisis.png"
149,"&#x1f947;Cursos Bonificados de Psicopedagogía online",cursos-bonificados-de-psicopedagog-a-online,Psicopedagogia.jpg,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-psicopedagog-a-online/Psicopedagogia.jpg,3,"Psicopedagogia.jpg | Diploma-acreditativo-Psicopedagogia.png | Diploma-Psicopedagogia-2023.png"
139,"&#x1f947;Cursos Bonificados de Recursos Humanos online",cursos-bonificados-de-recursos-humanos-online,RecursosHumanos.jpg,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-recursos-humanos-online/RecursosHumanos.jpg,3,"RecursosHumanos.jpg | Diploma-acreditativo-Recursos-humanos.png | Diploma-Recursos-humanos-2023.png"
67,"&#x1f947;Cursos Bonificados de Redes Sociales",cursos-bonificados-de-redes-sociales,RedesSociales.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-redes-sociales/RedesSociales.png,4,"RedesSociales.png | CursosOnlineRedesSocialesORG.jpg | Diploma-acreditativo-de-Redes-Sociales.png | Diploma-Redes-Sociales-2023.png"
28,"&#x1f947;Cursos bonificados de Refrigerantes y gases fluorados",cursos-bonificados-de-refrigerantes-y-gases-fluorados,manipulacion-gases-refrigerantes.jpg,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-refrigerantes-y-gases-fluorados/manipulacion-gases-refrigerantes.jpg,3,"manipulacion-gases-refrigerantes.jpg | Diploma-acreditativo-Manipulacion-equipos-frigorificos-refrigerantes-fluorados.png | Diploma-refrigerantes-y-gases-fluorados-2023.png"
